fid,DN,fid_2,DN_2,fid_3,id,objectid_1,objectid,village,vlcode,gram_panch,gram_pan_1,block,bkcode,subdistric,sdcode,sub_distri,district,dtcode,district_h,state,stcode,uqcode,country,total_urba,total_hous,total_popu,avg_househ,total_geog,total_male,total_fema,tapwater_t,tapwater_u,covered_we,covered__1,covered__2,uncovered_,uncovere_1,uncovere_2,handpump_s,hand_pump_,hand_pum_1,tubewell_b,tube_wells,tube_wel_1,spring_sta,spring_fun,spring_f_1,river_cana,tank_pond_,others_sta,closed_dra,open_drain,village_pi,forest_are,area_under,barren_unc,permanent_,land_under,culturable,fallows_la,current_fa,net_area_s,total_unir,area_irrig,canals_are,wells_tube,tanks_lake,waterfall_,other_sour,nearest_to,nearest__1,shape_leng,shape_le_1,shape_area,ds_name,src_agency,state_name,village_area_km2,village_id,flood_area_km2,flood_exposure_pct,flood_risk
161,1,1,1,4580,41832,41832,108367,Kothulna,540747,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,140,536,3.82857143,172,262,274,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,5,0,0,1,3,1,0,162,27,135,0,27,0,0,0,BRAHMAPURI,4,7321.987168,7321.987168,2100112.764,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,4580,0.138992381,6.949619026,Low
162,1,1,1,4064,40888,40888,107423,Karoli,540866,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,235,878,3.73617021,415,429,449,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,70,60,2,40,0,11,0,0,232,220,12,191,1,17,0,11,MUL,47,11609.29937,11609.29937,7715660.39,Administrative Boundary,Survey of India (SOI),"Maharashtra
",8,4064,0.492365847,6.154573084,Low
163,1,1,1,4118,40947,40947,107482,Katali,539105,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,316,1188,3.75949367,543,623,565,Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,119,97,0,80,0,10,23,25,190,106,84,0,4,0,102,0,GADCHIROLI,12,11055.08617,11055.08617,5702909.573,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,4118,0.078940468,1.315674458,Low
164,1,1,1,4107,40938,40938,107473,Porla,539099,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,1052,4005,3.80703422,1485,2061,1944,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,220,180,0,21,0,1,50,5,1008,218,790,0,10,200,0,8,GADCHIROLI,14,17321.00538,17321.00538,18451232.67,Administrative Boundary,Survey of India (SOI),"Maharashtra
",19,4107,1.2028156,6.330608423,Low
165,1,1,1,3055,39852,39852,106387,Govindpur,539183,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,315,1189,3.77460317,544,594,595,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,69,14,32,10,0,79,39,26,276,230,45,0,0,230,0,0,GADCHIROLI,15,20540.87817,20540.87817,20523309.39,Administrative Boundary,Survey of India (SOI),"Maharashtra
",21,3055,0.329107449,1.567178327,Low
166,1,1,1,4287,41129,41129,107664,Nilaj,540806,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,352,1557,4.42329545,349,801,756,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,1,59,4,0,65,0,0,220,76,143,0,24,0,0,52,BRAHMAPURI,21,7247.210205,7247.210205,3235818.716,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4287,0.118847082,3.961569397,Low
167,1,1,1,2743,39543,39543,106078,Dewada Bk,541469,,,Pombhurna,124,Pombhurna,4073,Pombhurna,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,311,1233,3.96463023,726,639,594,Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,79,0,71,0,0,0,0,11,565,44,521,0,44,0,0,0,MUL,27,12372.28738,12372.28738,6974053.109,Administrative Boundary,Survey of India (SOI),"Maharashtra
",7,2743,0.049763997,0.710914246,Low
168,1,1,1,4203,41036,41036,107571,Dhanoli Tukum,540783,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,0,0,0,403,0,0,,,,,,,,,,,,,,,,,,,,,,,,45,0,29,1,0,9,0,3,315,102,213,0,2,100,0,0,,0,12397.41119,12397.41119,4500796.636,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4203,0.102644519,2.052890387,Low
169,1,1,1,4167,41000,41000,107535,Zilbodi,540772,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,135,538,3.98518519,153,258,280,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,0,13,0,0,0,0,4,135,22,113,0,22,0,0,0,BRAHMAPURI,3,6398.17521,6398.17521,1606451.855,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,4167,0.004812165,0.240608262,Low
170,1,1,1,2986,39784,39784,106319,Vichora,540914,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,160,657,4.10625,311,319,338,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,13,0,2,0,3,17,16,261,182,79,165,2,0,0,16,MUL,27,9822.262012,9822.262012,3257848.866,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,2986,0.536150803,17.87169343,Moderate
171,1,1,1,4286,41128,41128,107663,Rui,540805,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,420,1709,4.06904762,417,890,819,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,1,15,13,0,48,0,0,339,87,252,0,25,0,0,62,BRAHMAPURI,21,9295.817691,9295.817691,4746723.19,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4286,0.297315386,5.946307724,Low
172,1,1,1,4365,41208,41208,107743,Mulur Rith,538514,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,0,0,0,230,0,0,,,,,,,,,,,,,,,,,,,,,,,,10,64,0,4,0,3,10,2,137,93,45,92,0,0,0,1,,0,11189.1894,11189.1894,4510288.401,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4365,0.31869716,6.373943208,Low
173,1,1,1,4347,41190,41190,107725,Peth Tukum,538586,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,157,612,3.89808917,322,307,305,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,120,3,41,11,0,4,0,0,143,87,57,0,2,85,0,0,DESAIGANJ,28,8062.853649,8062.853649,3221878.198,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4347,0.232129592,7.737653069,Low
174,1,1,1,4049,40874,40874,107409,Dabgaon Maushi,540908,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,231,896,3.87878788,537,452,444,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,0,81,0,65,0,0,0,13,377,301,76,293,1,0,0,7,MUL,31,16214.18577,16214.18577,7283379.525,Administrative Boundary,Survey of India (SOI),"Maharashtra
",8,4049,2.182280262,27.27850328,Moderate
175,1,1,1,3022,39818,39818,106353,Vyahad Bk,540918,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,1089,4241,3.89439853,2082,2142,2099,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,925,270,0,16,0,31,0,82,759,488,271,274,2,202,0,10,MUL,28,10873.12985,10873.12985,3551602.186,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,3022,0.166494712,4.162367803,Low
176,1,1,1,4111,40949,40949,107484,Katali Chak,539104,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,79,288,3.64556962,90,148,140,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,12,0,7,0,6,14,0,52,20,31,0,20,0,0,0,GADCHIROLI,14,4098.737653,4098.737653,1016858.356,Administrative Boundary,Survey of India (SOI),"Maharashtra
",1,4111,0.051269404,5.126940437,Low
177,1,1,1,4124,40954,40954,107489,Sakhara,539109,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,420,1526,3.63333333,749,774,752,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,176,10,219,14,0,28,4,38,259,116,143,0,105,0,0,11,GADCHIROLI,9,12327.8738,12327.8738,8320900.491,Administrative Boundary,Survey of India (SOI),"Maharashtra
",9,4124,0.710728323,7.896981362,Low
178,1,1,1,4154,40987,40987,107522,Wasa Chack No 1,539096,,,Gadchiroli,108,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,0,0,0,193,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,43,0,15,0,7,19,2,107,10,97,0,5,2,0,4,,0,6242.464729,6242.464729,2359926.819,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,4154,0.339155623,16.95778115,Moderate
179,1,1,1,4337,41180,41180,107715,Dongargaon,538525,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,493,1910,3.87423935,719,938,972,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,70,7,73,0,0,24,64,16,465,82,383,0,0,3,0,78,DESAIGANJ,24,15721.65259,15721.65259,9391701.136,Administrative Boundary,Survey of India (SOI),"Maharashtra
",10,4337,1.423266963,14.23266963,Low
180,1,1,1,4651,41905,41905,108440,Vihirgaon,537515,,,Lakhandur,94,Lakhandur,4043,Lakhandur,Bhandara,471,BHANDARA,MH,27,,India,Rural,49,220,4.48979592,318,112,108,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,21,120,8,0,90,0,0,79,21,58,0,21,0,0,0,Desaiganj,18,6397.164006,6397.164006,2335462.234,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,4651,0.198838805,9.941940238,Low
181,1,1,1,4325,41168,41168,107703,Palora,538519,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,130,540,4.15384615,561,269,271,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Available,119,26,11,15,18,3,0,7,362,255,107,201,24,31,0,0,DESAIGANJ,21,10676.46923,10676.46923,4816134.833,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4325,0.01123752,0.224750404,Low
182,1,1,1,4711,42026,42026,108561,Sawangi,538469,,,Desaiganj (Vadasa),103,Desaiganj (Vadasa),4052,Desaiganj (Vadasa),Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,623,2498,4.00963082,1248,1282,1216,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,393,173,184,4,11,0,56,14,413,217,196,172,1,0,0,43,DESAIGANJ,7,13052.61635,13052.61635,9263146.687,Administrative Boundary,Survey of India (SOI),"Maharashtra
",10,4711,0.729396114,7.293961142,Low
183,1,1,1,2957,39753,39753,106288,Jibgaon,540957,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,402,1472,3.66169154,557,742,730,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,0,211,0,0,0,0,0,6,339,279,61,120,159,0,0,0,MUL,30,10882.5026,10882.5026,5404030.586,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,2957,0.339842155,5.664035919,Low
184,1,1,1,2826,39623,39623,106158,Haladi Chak,539295,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,89,378,4.24719101,194,191,187,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,0,46,22,0,0,0,0,0,126,0,126,0,0,0,0,0,GADCHIROLI,54,8670.088513,8670.088513,2906738.66,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,2826,0.026007476,0.866915855,Low
185,1,1,1,4573,41826,41826,108361,Chikhalgaon,540739,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,471,2012,4.27176221,284,1019,993,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,10,78,2,0,1,8,1,184,25,158,0,25,0,0,0,BRAHMAPURI,9,6486.724524,6486.724524,2691822.028,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4573,0.158362153,5.278738428,Low
186,1,1,1,4205,41040,41040,107575,Gawarla Chak,540803,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,66,233,3.53030303,404,122,111,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,92,30,0,2,0,18,0,0,263,31,232,0,11,20,0,0,BRAHMAPURI,14,9511.778806,9511.778806,4840224.035,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4205,0.012077017,0.241540335,Low
187,1,1,1,3122,39921,39921,106456,Rajangatta,539284,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,42,157,3.73809524,43,83,74,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,6,8,0,2,0,0,0,0,27,52,-25,52,0,0,0,0,GADCHIROLI,45,3731.0651,3731.0651,823741.0582,Administrative Boundary,Survey of India (SOI),"Maharashtra
",1,3122,0.004357646,0.435764622,Low
188,1,1,1,3089,39886,39886,106421,Nachangaon,539265,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,58,248,4.27586207,39,128,120,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,7,1,1,0,0,0,0,30,73,-43,30,0,0,0,43,GADCHIROLI,29,2712.112264,2712.112264,543666.6625,Administrative Boundary,Survey of India (SOI),"Maharashtra
",1,3089,0.047656425,4.765642541,Low
189,1,1,1,4552,41807,41807,108342,Nandgaon Jani,540734,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,511,2075,4.06066536,890,1069,1006,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,0,15,154,3,4,33,8,24,650,65,586,0,65,0,0,0,BRAHMAPURI,8,11619.4972,11619.4972,7987303.611,Administrative Boundary,Survey of India (SOI),"Maharashtra
",8,4552,0.031661007,0.395762585,Low
190,1,1,1,3091,39888,39888,106423,Rampur,539267,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,117,492,4.20512821,277,251,241,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,223,3,8,0,0,0,0,1,43,106,-63,104,0,0,0,2,GADCHIROLI,30,8271.612475,8271.612475,1523870.847,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,3091,0.056063415,2.803170756,Low
191,1,1,1,4332,41175,41175,107710,Shegaon,538522,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,818,3842,4.69682152,536,2004,1838,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,181,29,19,31,26,1,0,12,238,167,72,150,17,0,0,0,DESAIGANJ,19,8252.41065,8252.41065,3501128.017,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,4332,0.255358623,6.383965583,Low
192,1,1,1,2955,39751,39751,106286,Bhatti Jamb,540945,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,77,319,4.14285714,375,152,167,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,0,107,0,0,0,0,4,0,264,69,195,0,0,69,0,0,MUL,25,7004.53604,7004.53604,2021689.464,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,2955,0.005455564,0.272778177,Low
193,1,1,1,2990,39788,39788,106323,Farada,539220,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,387,1561,4.03359173,894,793,768,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,0,167,0,16,0,31,3,0,677,382,295,324,13,0,0,45,MUL,25,13579.56972,13579.56972,10022035.04,Administrative Boundary,Survey of India (SOI),"Maharashtra
",10,2990,0.253153532,2.531535323,Low
